lat,lon,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,year-month-day,berry,latlon
63.72968180764254,29.83565143408413,11.2,0.1,5.4,11.2,-2.3,4.2,0.4,72.3,14.8,311.6,1018.0,21.1,46.2,None,None,None,0.95,2021-09-05,lingonberry,63.729681807643-29.835651434084-2021-09-05-lingonberry
66.34364154857263,29.233787068132383,12.7,9.5,10.9,12.7,7.4,10.4,9.6,91.5,19.7,69.3,1022.5,99.7,15.7,None,None,None,0.88,2018-09-06,lingonberry,66.343641548573-29.233787068132-2018-09-06-lingonberry
64.26322799288499,30.096842705717464,21.2,9.1,16.0,21.2,9.1,16.0,10.5,73.0,10.8,18.2,1010.0,30.5,33.5,None,None,None,0.85,2022-07-24,bilberry,64.263227992885-30.096842705717-2022-07-24-bilberry
65.99686534781587,25.898467471936097,21.0,11.4,15.3,21.0,11.4,15.3,13.6,90.5,10.0,174.8,1004.3,61.2,20.2,None,None,None,0.21,2021-08-14,bilberry,65.996865347816-25.898467471936-2021-08-14-bilberry
62.44166773236055,22.929648244563293,11.7,1.8,7.1,11.7,1.8,6.9,4.2,83.1,15.9,349.3,1028.5,68.1,34.2,100.8,5.3,2.0,0.29,2022-09-04,lingonberry,62.441667732361-22.929648244563-2022-09-04-lingonberry
62.94639677800591,27.98535924292085,17.9,10.5,13.7,17.9,10.5,13.7,11.7,88.1,12.8,112.0,1013.4,29.6,16.0,None,None,None,0.31,2020-09-26,lingonberry,62.946396778006-27.985359242921-2020-09-26-lingonberry
61.51350081033402,26.81206376973897,24.0,9.9,18.5,24.0,9.9,18.5,12.1,70.1,10.9,199.6,1010.0,36.2,12.6,340.9,22.1,7.0,0.89,2022-07-25,bilberry,61.513500810334-26.812063769739-2022-07-25-bilberry
66.80019411773868,28.5925123225102,9.8,6.8,8.2,9.2,5.7,7.2,6.2,88.0,10.8,278.2,994.1,98.2,18.4,None,None,None,0.87,2020-09-13,lingonberry,66.800194117739-28.592512322510-2020-09-13-lingonberry
63.635949999523234,23.971753502658533,9.1,4.3,7.1,7.0,4.2,5.7,4.1,82.0,17.6,348.7,1028.3,91.3,26.3,None,None,None,0.29,2022-09-04,lingonberry,63.635949999523-23.971753502659-2022-09-04-lingonberry
64.29586616141056,26.7933768027168,22.7,15.6,19.0,22.7,15.6,19.0,13.6,71.8,25.1,143.5,1016.0,12.3,26.7,256.9,15.0,5.0,0.8,2022-08-21,bilberry,64.295866161411-26.793376802717-2022-08-21-bilberry
66.1724509096708,28.55294528983993,12.7,10.8,11.7,12.7,10.8,11.7,11.2,96.3,12.7,170.3,1001.4,80.3,11.2,None,None,None,0.5,2019-08-15,lingonberry,66.172450909671-28.552945289840-2019-08-15-lingonberry
61.06271598849624,27.74103603364305,22.9,15.4,19.2,22.9,15.4,19.2,11.7,64.3,14.6,25.6,1020.5,82.6,42.4,None,None,None,0.94,2018-07-11,bilberry,61.062715988496-27.741036033643-2018-07-11-bilberry
60.97181121791372,26.07634422315638,22.8,11.2,17.8,22.8,11.2,17.8,10.0,63.7,21.9,355.0,1013.2,14.1,36.5,221.6,14.3,6.0,0.86,2020-07-16,bilberry,60.971811217914-26.076344223156-2020-07-16-bilberry
67.06671706953833,28.840035931481147,15.0,8.1,11.4,15.0,6.5,11.1,8.8,85.3,21.8,222.1,1002.8,77.9,18.6,None,None,None,0.34,2022-08-07,lingonberry,67.066717069538-28.840035931481-2022-08-07-lingonberry
67.1388849966711,24.00044283670212,14.8,2.7,9.4,14.8,2.7,9.1,5.8,79.8,13.0,329.9,1020.5,37.9,30.6,None,None,None,0.07,2022-08-29,lingonberry,67.138884996671-24.000442836702-2022-08-29-lingonberry
65.99072416111518,28.76220037009852,17.5,9.6,14.2,17.5,8.2,14.2,7.0,63.3,15.2,17.3,1011.6,19.0,10.8,None,None,None,0.85,2022-07-24,cloudberry,65.990724161115-28.762200370099-2022-07-24-cloudberry
64.47415914385665,26.376065893323773,20.5,9.7,14.8,20.5,9.0,14.8,10.8,78.1,29.1,242.1,1001.6,52.9,36.8,203.1,14.7,6.0,0.3,2021-07-18,cloudberry,64.474159143857-26.376065893324-2021-07-18-cloudberry
69.57940593185836,28.79786167051738,21.5,5.7,14.7,21.5,5.7,14.7,8.7,72.5,14.3,175.1,1016.1,26.8,28.8,None,None,None,0.93,2021-08-06,bilberry,69.579405931858-28.797861670517-2021-08-06-bilberry
63.563958091980005,29.013431098545688,25.7,13.8,20.6,25.7,13.8,20.6,15.6,74.3,10.8,232.1,1012.5,40.7,42.1,None,None,None,0.79,2022-07-22,cloudberry,63.563958091980-29.013431098546-2022-07-22-cloudberry
64.00605621588757,29.454399062118203,19.8,5.7,13.4,19.8,5.4,13.3,8.3,74.1,10.3,247.6,1022.3,36.7,36.4,None,None,None,0.54,2022-08-13,bilberry,64.006056215888-29.454399062118-2022-08-13-bilberry
65.01145746294297,26.15138933047844,7.5,3.7,6.3,6.9,1.7,4.1,5.1,92.2,18.4,304.0,1002.5,92.6,23.8,48.5,1.9,1.0,0.21,2021-10-12,lingonberry,65.011457462943-26.151389330478-2021-10-12-lingonberry
